N, V, Time (ms)
10000000, 2, 640.848
10000000, 4, 711.294
10000000, 8, 764.055
10000000, 16, 668.333
10000000, 32, 618.166
10000000, 64, 617.405
10000000, 128, 615.066
10000000, 256, 612.443
