N, V, Time (ms)
10000, 2, 0.633653
10000, 4, 0.72457
10000, 8, 0.98518
10000, 16, 0.635479
10000, 32, 0.798404
10000, 64, 0.61738
10000, 128, 0.597018
10000, 256, 0.831969
