N, V, Time (ms)
100000, 2, 10.0685
100000, 4, 7.06108
100000, 8, 9.12323
100000, 16, 7.03947
100000, 32, 6.98116
100000, 64, 6.7366
100000, 128, 8.94771
100000, 256, 6.37098
