N, V, Time (ms)
1000000, 2, 67.973
1000000, 4, 77.7255
1000000, 8, 93.7163
1000000, 16, 74.3328
1000000, 32, 68.0571
1000000, 64, 73.1744
1000000, 128, 81.7419
1000000, 256, 70.3979
